,Treatment,imagingType,imageFileName,zone,CV,Iso,Contrast,Correlation,Energy,Homogeneity,Entropy,Std,Mean,Range
156,CS,IF,40X IF CS - 04.tif,zone 4,0.1536794845875,6.44,0.280595184164881,0.888405987423644,0.195441386171352,0.873370468999762,5.83034091284523,0.137841682868842,0.266272718887076,0.967043735127075
157,CS,IF,40X IF CS - 05.tif,zone 1,0.184391046049908,5.84,0.29667137026834,0.897532168582035,0.177004223902575,0.864016625004251,5.6880206221318,0.148682371656037,0.266561091796988,0.96280257696178
158,CS,IF,40X IF CS - 05.tif,zone 2,0.190948869923197,5.6,0.275115590245893,0.91250320588997,0.183298588279489,0.875503341325715,5.82035139382761,0.155269197692866,0.247142908096843,0.983762917114658
159,CS,IF,40X IF CS - 05.tif,zone 3,0.165107793311524,5.32,0.26693225181104,0.901640359656543,0.19517263515954,0.876994579124579,5.66390389648875,0.14468110605556,0.244211123732059,0.976721286142119
160,CS,IF,40X IF CS - 05.tif,zone 4,0.173735165532451,6.84,0.297823803693501,0.900593640980557,0.179368822028544,0.86463393701323,5.80704405736934,0.152034418812804,0.269821765611406,0.979541978759212
161,SS,Dsg3,40X Dsg3 SS - 01.tif,zone 1,NA,NA,1.56157831853892,0.39055298213507,0.0867626616618415,0.637998823917384,4.0616327117307,0.137152363759552,0.26595513342043,1
162,SS,Dsg3,40X Dsg3 SS - 01.tif,zone 2,NA,NA,1.40357754310785,0.391687797982342,0.102550779398646,0.651590567252613,4.04838622370451,0.129071748906616,0.244854747166554,1
163,SS,Dsg3,40X Dsg3 SS - 01.tif,zone 3,NA,NA,1.42265509641873,0.37366966511339,0.100413163677559,0.648171334108279,4.01729168180588,0.12713116924247,0.247956015242567,1
164,SS,Dsg3,40X Dsg3 SS - 01.tif,zone 4,NA,NA,1.45953533312927,0.359642180517162,0.094791620574387,0.642217626286919,3.91752718520581,0.131033712214411,0.240578569340214,0.999130434782609
165,SS,Dsg3,40X Dsg3 SS - 02.tif,zone 1,NA,NA,0.946931700846853,0.549096307304368,0.132239263108266,0.706256328824561,3.47484708475363,0.122272718186941,0.257480099255325,0.996603174603175
166,SS,Dsg3,40X Dsg3 SS - 02.tif,zone 2,NA,NA,0.983040046933986,0.562180349872161,0.113452391122174,0.692724724663664,3.50445439963133,0.12832100675049,0.270465668495238,0.995592118226601
167,SS,Dsg3,40X Dsg3 SS - 02.tif,zone 3,NA,NA,1.0772636771758,0.544488328200584,0.103013817122387,0.680951691348308,3.41649762152351,0.133308414228434,0.269087772525832,1
168,SS,Dsg3,40X Dsg3 SS - 02.tif,zone 4,NA,NA,0.9763233751658,0.596367004270584,0.12418337200561,0.699879707610011,3.59706892451393,0.132463892384891,0.267640109147262,0.995959094668772
169,SS,Dsg3,40X Dsg3 SS - 03.tif,zone 1,NA,NA,0.86794355677992,0.660985244062468,0.111408550132688,0.710560852123933,3.89807610862073,0.138309350934393,0.293343836819577,0.982225294258656
170,SS,Dsg3,40X Dsg3 SS - 03.tif,zone 2,NA,NA,0.858092072237527,0.631283437845868,0.120097204918017,0.714066028490776,3.80509844287423,0.132175070970013,0.281695945421558,0.986914637537356
171,SS,Dsg3,40X Dsg3 SS - 03.tif,zone 3,NA,NA,1.03712719110295,0.53650432360334,0.111045678598462,0.690402395673911,3.62572995911881,0.128535155117207,0.307186115680711,0.979235723858442
172,SS,Dsg3,40X Dsg3 SS - 03.tif,zone 4,NA,NA,0.831485562697684,0.611886605710161,0.13362001450438,0.722023595551474,3.83253367677586,0.125425859589807,0.288252861152114,0.978906208154803
173,SS,E-cad,40X E-cad SS - 01.tif,zone 1,NA,NA,0.965518630751964,0.583615604319393,0.118655358764102,0.703391936403477,3.66591631131715,0.133153177464599,0.287363514643629,0.990815619062391
174,SS,E-cad,40X E-cad SS - 01.tif,zone 2,NA,NA,1.06511280481583,0.548669689900139,0.117437739382886,0.691143360274219,3.4502179416404,0.130687739906441,0.24561948563491,0.99779068627451
175,SS,E-cad,40X E-cad SS - 01.tif,zone 3,NA,NA,0.971444638302213,0.557259512112629,0.10799227191714,0.692529036007016,3.6647727116033,0.125774412575796,0.29552108843543,0.990347929731926
176,SS,E-cad,40X E-cad SS - 01.tif,zone 4,NA,NA,1.21890911131517,0.501867707992013,0.101321991236139,0.668294211754389,3.35764059849227,0.135955909265392,0.268252251913599,0.995565268065268
177,SS,E-cad,40X E-cad SS - 02.tif,zone 1,NA,NA,0.422539281705948,0.756865297928512,0.207636303948821,0.814388067544128,4.52559876878209,0.111727254996719,0.251830727134462,0.955261247986281
178,SS,E-cad,40X E-cad SS - 02.tif,zone 2,NA,NA,0.424963411896745,0.772858738236234,0.193782211305614,0.810669228139986,4.56647809209261,0.116553696410164,0.250127261269395,0.960634101420585
179,SS,E-cad,40X E-cad SS - 02.tif,zone 3,NA,NA,0.368477339047036,0.764366718761869,0.257912717714224,0.834147690541781,4.5041413835965,0.109326726360933,0.224586776089914,0.963511828312487
